49,7
58,73
72,130
78,344
109,323
165,40
242,92
103,387
129,327
212,40
369,303
357,109
133,360
278,299
135,216
226,297
67,312
33,210
349,179
21,179
272,367
136,193
145,285
91,28
357,194
353,201
344,308
290,68
196,124
103,330
266,122
24,149
53,201
208,177
133,228
181,298
13,235
214,265
136,263
69,225
94,115
101,29
195,117
4,105
298,251
323,188
82,305
366,352
337,316
344,38
97,301
228,271
158,337
397,377
304,294
231,9
175,145
298,35
399,142
12,368
357,260
8,394
368,395
130,313
162,206
165,342
252,82
221,367
312,95
301,71
31,190
257,338
190,16
279,40
206,135
98,372
119,295
23,254
360,289
126,105
306,123
370,213
294,38
244,220
134,366
194,26
338,163
390,244
359,150
147,223
17,185
339,72
385,47
85,296
20,223
368,144
315,135
334,25
11,42
152,279
95,44
396,18
215,92
33,191
197,269
147,353
10,225
211,62
177,208
225,361
268,135
376,395
239,367
131,274
301,156
160,72
184,94
189,155
15,207
369,193
255,80
306,55
302,163
308,276
331,49
38,244
397,8
49,251
131,3
14,131
375,219
180,9
23,329
260,54
345,337
325,117
256,200
197,364
104,248
350,350
212,376
397,154
381,104
265,348
99,178
329,209
283,153
207,47
122,373
376,305
24,53
366,230
44,200
285,170
298,216
333,155
176,357
266,378
111,157
214,278
137,19
191,333
362,120
197,233
188,31
73,189
104,77
0,158
160,54
347,115
130,280
146,355
38,307
126,0
57,235
114,313
160,393
18,354
185,157
215,129
102,163
243,117
167,219
69,147
103,195
303,73
385,148
259,58
330,206
332,224
3,173
320,97
31,350
203,80
120,300
58,133
276,203
334,150
279,380
174,232
142,349
371,249
279,310
370,183
323,40
171,50
318,29
299,146
21,30
124,376
158,244
371,96
360,264
351,198
103,340
1,351
280,5
74,18
13,49
225,120
183,12
117,388
350,8
395,124
111,57
266,90
193,10
365,153
342,160
352,203
141,107
0,110
327,399
187,171
25,14
317,241
242,148
374,315
173,245
311,220
254,39
129,105
189,253
356,366
260,104
392,298
116,120
67,380
139,152
101,298
216,11
271,91
271,128
245,61
240,320
253,358
150,27
363,111
333,394
227,127
331,395
316,242
115,206
201,124
261,297
324,303
136,108
215,281
16,110
373,305
320,181
369,391
227,265
328,336
384,325
349,167
46,76
266,376
120,267
391,184
58,10
344,211
118,318
25,334
289,367
214,218
118,225
229,28
327,34
154,40
396,140
283,135
65,48
52,211
276,264
275,37
310,245
192,15
347,310
99,237
